Unnamed: 0,household_id,state_code_str,zip_code,county_str,rating_area
213,834,ME,04054,YORK_COUNTY_ME,1.0
214,835,ME,04217,OXFORD_COUNTY_ME,2.0
215,836,ME,04082,CUMBERLAND_COUNTY_ME,1.0
216,12,ME,04469,PENOBSCOT_COUNTY_ME,3.0
217,29,ME,04963,KENNEBEC_COUNTY_ME,2.0
218,33,ME,04624,HANCOCK_COUNTY_ME,4.0
219,35,ME,04772,AROOSTOOK_COUNTY_ME,4.0
220,41,ME,04605,HANCOCK_COUNTY_ME,4.0
221,73,ME,04002,YORK_COUNTY_ME,1.0
222,74,ME,04861,KNOX_COUNTY_ME,2.0
223,76,ME,04039,CUMBERLAND_COUNTY_ME,1.0
224,78,ME,03903,YORK_COUNTY_ME,1.0
225,79,ME,04260,CUMBERLAND_COUNTY_ME,3.0
225,79,ME,04260,CUMBERLAND_COUNTY_ME,1.0
226,98,ME,04073,YORK_COUNTY_ME,1.0
227,104,ME,04605,HANCOCK_COUNTY_ME,4.0
228,107,ME,04280,ANDROSCOGGIN_COUNTY_ME,3.0
229,110,ME,04358,KENNEBEC_COUNTY_ME,2.0
229,110,ME,04358,KENNEBEC_COUNTY_ME,3.0
230,111,ME,04038,CUMBERLAND_COUNTY_ME,1.0
230,111,ME,04038,CUMBERLAND_COUNTY_ME,1.0
231,129,ME,04434,PENOBSCOT_COUNTY_ME,3.0
232,134,ME,04240,ANDROSCOGGIN_COUNTY_ME,3.0
233,139,ME,04614,HANCOCK_COUNTY_ME,4.0
234,157,ME,04103,CUMBERLAND_COUNTY_ME,1.0
235,172,ME,04976,SOMERSET_COUNTY_ME,3.0
236,173,ME,04241,ANDROSCOGGIN_COUNTY_ME,3.0
237,189,ME,04287,SAGADAHOC_COUNTY_ME,2.0
237,189,ME,04287,SAGADAHOC_COUNTY_ME,1.0
238,199,ME,04957,SOMERSET_COUNTY_ME,3.0
239,226,ME,04281,OXFORD_COUNTY_ME,2.0
240,232,ME,04054,YORK_COUNTY_ME,1.0
241,255,ME,04071,CUMBERLAND_COUNTY_ME,1.0
242,287,ME,04073,YORK_COUNTY_ME,1.0
243,289,ME,04072,YORK_COUNTY_ME,1.0
244,314,ME,04957,SOMERSET_COUNTY_ME,3.0
245,315,ME,04039,CUMBERLAND_COUNTY_ME,1.0
246,321,ME,04123,CUMBERLAND_COUNTY_ME,1.0
247,324,ME,04079,CUMBERLAND_COUNTY_ME,1.0
248,326,ME,03901,YORK_COUNTY_ME,1.0
249,337,ME,04079,CUMBERLAND_COUNTY_ME,1.0
250,345,ME,04086,SAGADAHOC_COUNTY_ME,1.0
251,347,ME,04428,PENOBSCOT_COUNTY_ME,3.0
252,352,ME,04862,KNOX_COUNTY_ME,2.0
252,352,ME,04862,KNOX_COUNTY_ME,2.0
253,354,ME,04083,YORK_COUNTY_ME,1.0
254,356,ME,04103,CUMBERLAND_COUNTY_ME,1.0
255,375,ME,04243,ANDROSCOGGIN_COUNTY_ME,3.0
256,376,ME,04021,CUMBERLAND_COUNTY_ME,1.0
257,377,ME,04786,AROOSTOOK_COUNTY_ME,4.0
258,380,ME,04411,PENOBSCOT_COUNTY_ME,3.0
259,382,ME,04116,CUMBERLAND_COUNTY_ME,1.0
260,394,ME,04086,SAGADAHOC_COUNTY_ME,1.0
261,400,ME,04039,CUMBERLAND_COUNTY_ME,1.0
